area,area_code,region,lwda_code,cluster_code,cluster,pathway_code,pathway,soc_code,soc_title,jobs_estimate_year,num_jobs_estimate,annual_openings,income_year,mean_income,median_income,jobs_projection_year,num_jobs_projected,num_jobs_projected_change,fraction_change_jobs,fraction_change_us,predominant_education_level,training,work_experience,predominant_occ_prep_combo,nontrad_year,nontrad_status
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.3,Animal Systems,319096,Veterinary Assistants and Laboratory Animal Caretakers,2018,3993,889,2018,27608,27196,2028,5344,1351,0.3383421003818512,0.191,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,M
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.4,"Power, Structural, and Technical Systems",NA,NA,2018,920,97,2018,NA,NA,2028,958,38,0.041304346174001694,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.4,"Power, Structural, and Technical Systems",493041,Farm Equipment Mechanics and Service Technicians,2018,920,97,2018,38895,38733,2028,958,38,0.041304346174001694,0.037000000000000005,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,NA,NA,2018,4246,553,2018,NA,NA,2028,4383,137,0.032265663146972656,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,119121,Natural Sciences Managers,2018,1348,127,2018,135944,128502,2028,1404,56,0.04154302552342415,0.059000000000000004,Graduate / Professional Degree,NA,Work experience,Graduate / Professional Degree & Work experience,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,191032,Foresters,2018,320,36,2018,60984,56517,2028,338,18,0.05624999850988388,0.013000000000000001,Bachelor's Degree,NA,NA,Bachelor's Degree,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,194093,Forest and Conservation Technicians,2018,310,39,2018,42813,40778,2028,321,11,0.03548387065529823,0.017,Some College / Associate Degree,NA,NA,Some College / Associate Degree,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,333031,Fish and Game Wardens,2018,244,19,2018,52379,50314,2028,253,9,0.03688524663448334,0.017,Bachelor's Degree,Training / Certification,NA,Bachelor's Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,454021,Fallers,2018,295,45,2018,42852,40980,2028,284,-11,-0.03728813678026199,-0.18,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,454022,Logging Equipment Operators,2018,1572,262,2018,43900,41550,2028,1628,56,0.03562340885400772,-0.138,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,454023,Log Graders and Scalers,2018,157,25,2018,36300,34968,2028,155,-2,-0.012738853693008423,-0.076,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,NA,NA,2018,13673,1628,2018,NA,NA,2028,14390,717,0.05243911221623421,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,172081,Environmental Engineers,2018,1308,105,2018,87833,85269,2028,1352,44,0.03363914415240288,0.051,Bachelor's Degree,NA,NA,Bachelor's Degree,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,173025,Environmental Engineering Technicians,2018,326,35,2018,47879,45478,2028,348,22,0.06748466193675995,0.086,Some College / Associate Degree,NA,NA,Some College / Associate Degree,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,192041,"Environmental Scientists and Specialists, Including Health",2018,3348,394,2018,87040,76367,2028,3559,211,0.06302270293235779,0.08199999999999999,Bachelor's Degree,NA,NA,Bachelor's Degree,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,194091,"Environmental Science and Protection Technicians, Including Health",2018,1047,137,2018,47971,41653,2028,1122,75,0.0716332346200943,0.092,Bachelor's Degree,NA,NA,Bachelor's Degree,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,474041,Hazardous Materials Removal Workers,2018,1147,167,2018,39932,38620,2028,1288,141,0.12292937934398651,0.106,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,518031,Water and Wastewater Treatment Plant and System Operators,2018,3094,265,2018,47367,45403,2028,2987,-107,-0.034583065658807755,-0.048,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,F
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,537081,Refuse and Recyclable Material Collectors,2018,3403,525,2018,36822,32239,2028,3734,331,0.09726711362600327,0.08199999999999999,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.7,Agribusiness Systems,NA,NA,2018,33663,3220,2018,NA,NA,2028,32830,-833,-0.024745268747210503,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.7,Agribusiness Systems,119013,"Farmers, Ranchers, and Other Agricultural Managers",2018,33663,3220,2018,86270,87839,2028,32830,-833,-0.024745268747210503,-0.009000000000000001,High School Diploma,NA,Work experience,HS Diploma & Work experience,2020,N
Virginia,0,Virginia,NA,2,Architecture and Construction,NA,NA,NA,NA,2018,378461,47599,2018,NA,NA,2028,412764,34303,0.09063813835382462,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.1,Design/Pre-Construction,NA,NA,2018,33446,3302,2018,NA,NA,2028,35717,2271,0.06790049374103546,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.1,Design/Pre-Construction,131051,Cost Estimators,2018,9391,1072,2018,75597,68991,2028,10363,972,0.10350335389375687,0.086,Bachelor's Degree,Training / Certification,NA,Bachelor's Degree & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.1,Design/Pre-Construction,171011,"Architects, Except Landscape and Naval",2018,3353,289,2018,86867,84486,2028,3585,232,0.06919176876544952,0.084,Bachelor's Degree,Training / Certification,NA,Bachelor's Degree & Training / Certification,2020,N
Virginia,0,Virginia,NA,2,Architecture and Construction,2.1,Design/Pre-Construction,171012,Landscape Architects,2018,994,82,2018,87375,79439,2028,1033,39,0.03923541307449341,0.044000000000000004,Bachelor's Degree,Training / Certification,NA,Bachelor's Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.1,Design/Pre-Construction,171022,Surveyors,2018,1636,128,2018,71453,64341,2028,1696,60,0.03667481616139412,0.06,Bachelor's Degree,Training / Certification,NA,Bachelor's Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.1,Design/Pre-Construction,172051,Civil Engineers,2018,11310,980,2018,96430,89603,2028,12032,722,0.06383731216192245,0.063,Bachelor's Degree,NA,NA,Bachelor's Degree,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.1,Design/Pre-Construction,173011,Architectural and Civil Drafters,2018,2448,250,2018,55337,52855,2028,2441,-7,-0.002859477186575532,0.018000000000000002,Some College / Associate Degree,NA,NA,Some College / Associate Degree,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.1,Design/Pre-Construction,173022,Civil Engineering Technicians,2018,2182,230,2018,55825,52926,2028,2307,125,0.05728689208626747,0.05,Some College / Associate Degree,NA,NA,Some College / Associate Degree,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.1,Design/Pre-Construction,173031,Surveying and Mapping Technicians,2018,2132,271,2018,48398,45387,2028,2260,128,0.0600375235080719,0.054000000000000006,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,NA,NA,2018,173106,21508,2018,NA,NA,2028,190425,17319,0.10004852712154388,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,119021,Construction Managers,2018,8950,776,2018,112111,101193,2028,9923,973,0.10871508717536926,0.098,Bachelor's Degree,Training / Certification,NA,Bachelor's Degree & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,471011,First-Line Supervisors of Construction Trades and Extraction Workers,2018,22398,2711,2018,68826,64614,2028,24914,2516,0.11233145743608475,0.10400000000000001,High School Diploma,NA,Work experience,HS Diploma & Work experience,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472021,Brickmasons and Blockmasons,2018,4010,461,2018,46138,47034,2028,4411,401,0.10000000149011612,0.09699999999999999,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472031,Carpenters,2018,23897,2941,2018,44511,42812,2028,26982,3085,0.12909570336341858,0.08,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472041,Carpet Installers,2018,431,40,2018,38335,31569,2028,417,-14,-0.03248259797692299,-0.019,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472044,Tile and Marble Setters,2018,961,116,2018,44643,44246,2028,1108,147,0.15296566486358643,0.17600000000000002,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472061,Construction Laborers,2018,31373,4008,2018,32505,31427,2028,34700,3327,0.10604660212993622,0.105,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472071,"Paving, Surfacing, and Tamping Equipment Operators",2018,1971,275,2018,34764,33625,2028,2149,178,0.09030948579311371,0.10800000000000001,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472072,Pile-Driver Operators,2018,119,15,2018,53077,49079,2028,127,8,0.06722689419984818,0.107,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472073,Operating Engineers and Other Construction Equipment Operators,2018,10881,1374,2018,43208,40919,2028,11643,762,0.0700303316116333,0.096,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472111,Electricians,2018,17037,2201,2018,52182,49496,2028,18472,1435,0.08422844111919403,0.10400000000000001,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472121,Glaziers,2018,1140,147,2018,41326,39230,2028,1245,105,0.09210526198148727,0.107,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472141,"Painters, Construction and Maintenance",2018,9515,1049,2018,40238,38589,2028,10082,567,0.05959011986851692,0.06,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472151,Pipelayers,2018,1439,182,2018,36707,34917,2028,1584,145,0.10076441615819931,0.122,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472152,"Plumbers, Pipefitters, and Steamfitters",2018,14880,1908,2018,51205,50829,2028,16543,1663,0.11176075041294098,0.136,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472211,Sheet Metal Workers,2018,4252,507,2018,48265,48346,2028,4549,297,0.06984948366880417,0.08,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,472221,Structural Iron and Steel Workers,2018,1508,200,2018,52110,50900,2028,1646,138,0.09151193499565125,0.115,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,473011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2018,1653,255,2018,31407,30084,2028,1843,190,0.1149425283074379,0.10800000000000001,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,473012,Helpers--Carpenters,2018,2142,352,2018,29789,29280,2028,2521,379,0.17693744599819183,0.11599999999999999,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,473013,Helpers--Electricians,2018,3278,466,2018,31040,30979,2028,3427,149,0.04545454680919647,0.069,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,473014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2018,347,49,2018,29138,28629,2028,354,7,0.020172910764813423,0.05,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,473015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2018,2484,395,2018,31447,30878,2028,2844,360,0.14492753148078918,0.156,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,473016,Helpers--Roofers,2018,513,78,2018,30206,29525,2028,565,52,0.10136452317237854,0.13,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,473019,"Helpers, Construction Trades, All Other",2018,1398,208,2018,31885,30461,2028,1514,116,0.08297567814588547,0.102,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,474031,Fence Erectors,2018,1187,155,2018,37491,32984,2028,1288,101,0.08508846163749695,0.10099999999999999,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,475021,"Earth Drillers, Except Oil and Gas",2018,373,55,2018,46871,45884,2028,404,31,0.08310992270708084,0.13699999999999998,High School Diploma,Training / Certification,Work experience,HS Diploma & Training / Certification & Work experience,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,499096,Riggers,2018,1429,145,2018,50523,52975,2028,1479,50,0.034989502280950546,0.055,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,537021,Crane and Tower Operators,2018,1590,188,2018,68055,63244,2028,1611,21,0.01320754736661911,0.049,High School Diploma,Training / Certification,Work experience,HS Diploma & Training / Certification & Work experience,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.2,Construction,537032,Excavating and Loading Machine and Dragline Operators,2018,1950,251,2018,44288,43500,2028,2080,130,0.06666667014360428,0.07400000000000001,High School Diploma,Training / Certification,Work experience,HS Diploma & Training / Certification & Work experience,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,NA,NA,2018,171909,22789,2018,NA,NA,2028,186622,14713,0.08558598160743713,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,371011,First-Line Supervisors of Housekeeping and Janitorial Workers,2018,6963,884,2018,42976,40406,2028,7563,600,0.0861697569489479,0.068,High School Diploma,NA,Work experience,HS Diploma & Work experience,2020,N
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",2018,5259,655,2018,51770,49458,2028,5799,540,0.10268111526966095,0.087,High School Diploma,NA,Work experience,HS Diploma & Work experience,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2018,65506,9552,2018,27185,25018,2028,71083,5577,0.08513724058866501,0.066,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,373011,Landscaping and Groundskeeping Workers,2018,33659,4972,2018,30963,29518,2028,37379,3720,0.11052021384239197,0.08800000000000001,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,472011,Boilermakers,2018,390,40,2018,58306,55966,2028,402,12,0.03076923079788685,0.059000000000000004,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,474051,Highway Maintenance Workers,2018,4038,476,2018,38111,37277,2028,4216,178,0.04408122971653938,0.048,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,474071,Septic Tank Servicers and Sewer Pipe Cleaners,2018,849,115,2018,42527,39281,2028,970,121,0.14252060651779175,0.134,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,499011,Mechanical Door Repairers,2018,604,60,2018,40648,39574,2028,665,61,0.10099337995052338,0.098,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,499012,"Control and Valve Installers and Repairers, Except Mechanical Door",2018,1112,99,2018,65707,64198,2028,1140,28,0.025179855525493622,0.016,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2018,14113,1601,2018,50858,50615,2028,15608,1495,0.10593070089817047,0.126,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,499044,Millwrights,2018,667,63,2018,52306,51161,2028,705,38,0.056971512734889984,0.08900000000000001,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,499071,"Maintenance and Repair Workers, General",2018,32737,3469,2018,42096,39584,2028,34726,1989,0.06075694039463997,0.057,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,499098,"Helpers--Installation, Maintenance, and Repair Workers",2018,4899,692,2018,29951,29030,2028,5299,400,0.08164931833744049,0.079,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,2,Architecture and Construction,2.3,Maintenance/Operations,518021,Stationary Engineers and Boiler Operators,2018,1113,111,2018,54323,52400,2028,1067,-46,-0.04132973775267601,0.027000000000000003,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,F
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",NA,NA,NA,NA,2018,57464,6385,2018,NA,NA,2028,58661,1197,0.020830433815717697,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.1,Audio/Video Technology and Film,NA,NA,2018,4481,520,2018,NA,NA,2028,4790,309,0.06895782053470612,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.1,Audio/Video Technology and Film,271014,Multimedia Artists and Animators,2018,1157,133,2018,66569,64677,2028,1207,50,0.04321521148085594,0.042,Bachelor's Degree,NA,NA,Bachelor's Degree,2020,NA
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.1,Audio/Video Technology and Film,274011,Audio and Video Equipment Technicians,2018,1950,238,2018,50901,46323,2028,2141,191,0.09794871509075165,0.11599999999999999,Bachelor's Degree,Training / Certification,NA,Bachelor's Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.1,Audio/Video Technology and Film,274031,"Camera Operators, Television, Video, and Motion Picture",2018,568,58,2018,56375,56151,2028,586,18,0.03169013932347298,0.081,Bachelor's Degree,NA,NA,Bachelor's Degree,2020,NA
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.1,Audio/Video Technology and Film,274032,Film and Video Editors,2018,363,41,2018,65715,60536,2028,406,43,0.11845730245113373,0.139,Bachelor's Degree,NA,NA,Bachelor's Degree,2020,NA
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.1,Audio/Video Technology and Film,492097,Electronic Home Entertainment Equipment Installers and Repairers,2018,443,50,2018,43777,39533,2028,450,7,0.015801355242729187,-0.015,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.2,Printing Technology,NA,NA,2018,6156,565,2018,NA,NA,2028,5213,-943,-0.15318389236927032,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.2,Printing Technology,515111,Prepress Technicians and Workers,2018,716,63,2018,43746,42959,2028,562,-154,-0.2150837928056717,-0.20800000000000002,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.2,Printing Technology,515112,Printing Press Operators,2018,4141,358,2018,39573,38919,2028,3569,-572,-0.13813088834285736,-0.11800000000000001,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,F
Virginia,0,Virginia,NA,3,"Arts, Audio/Video Technology, and Communications",3.2,Printing Technology,515113,Print Binding and Finishing Workers,2018,1299,144,2018,38387,38100,2028,1082,-217,-0.16705158352851868,-0.152,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
