Area Code,Area,Cluster Code,Cluster,Pathway Code,Pathway,SOC Code,SOC Title,Predominant Occ Prep Combo,Predominant Education Level,Training,Work Experience,2020 Nontrad Status,2018 Estimate,2028 Projection,2018-28 Change,Percent Change,Percent Change-US,Annual Openings,2018 Mean Income,2018 Median Income,,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.1,Food Products and Processing Systems,.,.,.,.,.,.,.,100,95,-5,-5.0%,.,12,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.1,Food Products and Processing Systems,513021,Butchers and Meat Cutters,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,No data,100,95,-5,-5.0%,2.9%,12,"$25,920","$25,012",,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,.,.,.,.,.,.,.,38,39,1,2.6%,.,5,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.5,Natural Resources Systems,194093,Forest and Conservation Technicians,Some College/Associate Degree,Some College/Associate Degree,.,.,No data,38,39,1,2.6%,1.7%,5,"$41,964","$38,414",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,.,.,.,.,.,.,.,.,.,"4,888","4,640",-248,-5.1%,.,506,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,.,.,.,.,.,.,.,"2,812","2,630",-182,-6.5%,.,282,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,119021,Construction Managers,Bachelor's Degree & Training/Certification,Bachelor's Degree,Training/Certification,.,F,108,105,-3,-2.8%,9.8%,7,"$99,098","$91,597",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,471011,First-Line Supervisors of Construction Trades and Extraction Workers,HS Diploma & Work Experience,HS Diploma,.,Work Experience,F,616,568,-48,-7.8%,10.4%,57,"$68,315","$66,484",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,472021,Brickmasons and Blockmasons,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,No data,25,25,0,0.0%,9.7%,3,"$36,666","$36,804",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,472031,Carpenters,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,F,195,198,3,1.5%,8.0%,20,"$32,239","$31,053",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,472061,Construction Laborers,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,F,676,677,1,0.1%,10.5%,76,"$27,752","$26,901",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,472071,"Paving, Surfacing, and Tamping Equipment Operators",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,No data,27,26,-1,-3.7%,10.8%,3,"$33,630","$34,573",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,472073,Operating Engineers and Other Construction Equipment Operators,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,No data,713,632,-81,-11.4%,9.6%,70,"$37,510","$36,493",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,472111,Electricians,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,F,301,257,-44,-14.6%,10.4%,29,"$48,817","$46,400",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,472211,Sheet Metal Workers,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,F,28,28,0,0.0%,8.0%,3,"$32,041","$33,609",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,473012,Helpers--Carpenters,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,No data,20,22,2,10.0%,11.6%,3,"$22,435","$22,704",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.2,Construction,537032,Excavating and Loading Machine and Dragline Operators,HS Diploma & Training/Certification & Work Experience,HS Diploma,Training/Certification,Work Experience,No data,103,92,-11,-10.7%,7.4%,11,"$36,658","$33,192",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.1,Design/Pre-Construction,.,.,.,.,.,.,.,308,288,-20,-6.5%,.,27,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.1,Design/Pre-Construction,131051,Cost Estimators,Bachelor's Degree & Training/Certification,Bachelor's Degree,Training/Certification,.,F,83,83,0,0.0%,8.6%,8,"$64,523","$64,676",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.1,Design/Pre-Construction,171022,Surveyors,Bachelor's Degree & Training/Certification,Bachelor's Degree,Training/Certification,.,No data,30,26,-4,-13.3%,6.0%,2,"$59,735","$58,130",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.1,Design/Pre-Construction,172051,Civil Engineers,Bachelor's Degree,Bachelor's Degree,.,.,F,91,83,-8,-8.8%,6.3%,6,"$77,578","$70,137",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.1,Design/Pre-Construction,173022,Civil Engineering Technicians,Some College/Associate Degree,Some College/Associate Degree,.,.,No data,50,46,-4,-8.0%,5.0%,5,"$44,935","$44,144",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.1,Design/Pre-Construction,173031,Surveying and Mapping Technicians,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,F,54,50,-4,-7.4%,5.4%,6,"$42,661","$40,279",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.3,Maintenance/Operations,.,.,.,.,.,.,.,"1,768","1,722",-46,-2.6%,.,197,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.3,Maintenance/Operations,371011,First-Line Supervisors of Housekeeping and Janitorial Workers,HS Diploma & Work Experience,HS Diploma,.,Work Experience,N,54,53,-1,-1.9%,6.8%,6,"$36,364","$33,167",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.3,Maintenance/Operations,371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",HS Diploma & Work Experience,HS Diploma,.,Work Experience,F,75,77,2,2.7%,8.7%,9,"$38,560","$32,728",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.3,Maintenance/Operations,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,No data,717,688,-29,-4.0%,6.6%,90,"$22,644","$21,371",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.3,Maintenance/Operations,474051,Highway Maintenance Workers,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,F,261,255,-6,-2.3%,4.8%,27,"$38,633","$37,222",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.3,Maintenance/Operations,499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Some College/Associate Degree & Training/Certification,Some College/Associate Degree,Training/Certification,.,F,134,135,1,0.7%,12.6%,14,"$30,230","$29,074",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.3,Maintenance/Operations,499071,"Maintenance and Repair Workers, General",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,F,446,433,-13,-2.9%,5.7%,41,"$33,658","$31,564",,,,,,,,
441,Southwestern Virginia (LWDA I),2,Architecture and Construction,2.3,Maintenance/Operations,499098,"Helpers--Installation, Maintenance, and Repair Workers",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,No data,81,81,0,0.0%,7.9%,10,"$21,091","$19,388",,,,,,,,
441,Southwestern Virginia (LWDA I),3,"Arts, Audio/Video Technology, and Communications",.,.,.,.,.,.,.,.,.,168,163,-5,-3.0%,.,17,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),3,"Arts, Audio/Video Technology, and Communications",3.5,Journalism and Broadcasting,.,.,.,.,.,.,.,13,14,1,7.7%,.,1,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),3,"Arts, Audio/Video Technology, and Communications",3.5,Journalism and Broadcasting,273022,Reporters and Correspondents,Bachelor's Degree,Bachelor's Degree,.,.,No data,13,14,1,7.7%,-12.1%,1,"$31,031","$33,106",,,,,,,,
441,Southwestern Virginia (LWDA I),3,"Arts, Audio/Video Technology, and Communications",3.6,Telecommunications,.,.,.,.,.,.,.,72,69,-3,-4.2%,.,8,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),3,"Arts, Audio/Video Technology, and Communications",3.6,Telecommunications,492022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Some College/Associate Degree & Training/Certification,Some College/Associate Degree,Training/Certification,.,No data,72,69,-3,-4.2%,-5.6%,8,"$54,827","$57,004",,,,,,,,
441,Southwestern Virginia (LWDA I),3,"Arts, Audio/Video Technology, and Communications",3.3,Visual Arts,.,.,.,.,.,.,.,83,80,-3,-3.6%,.,8,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),3,"Arts, Audio/Video Technology, and Communications",3.3,Visual Arts,271023,Floral Designers,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,M,34,31,-3,-8.8%,-13.8%,3,"$22,756","$22,672",,,,,,,,
441,Southwestern Virginia (LWDA I),3,"Arts, Audio/Video Technology, and Communications",3.3,Visual Arts,271024,Graphic Designers,Bachelor's Degree,Bachelor's Degree,.,.,N,49,49,0,0.0%,3.0%,5,"$34,307","$24,722",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,.,.,.,.,.,.,.,.,.,"6,128","5,850",-278,-4.5%,.,672,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,.,.,.,.,.,.,.,"4,643","4,402",-241,-5.2%,.,544,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,433061,Procurement Clerks,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,No data,25,22,-3,-12.0%,-6.0%,3,"$38,878","$38,464",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,434051,Customer Service Representatives,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,N,"1,759","1,810",51,2.9%,-1.7%,243,"$25,431","$23,410",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,434071,File Clerks,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,M,48,40,-8,-16.7%,-13.5%,4,"$24,585","$23,955",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,434111,"Interviewers, Except Eligibility and Loan",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,M,86,80,-6,-7.0%,3.1%,9,"$26,996","$25,009",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,434121,"Library Assistants, Clerical",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,M,72,75,3,4.2%,-3.0%,11,"$20,106","$18,968",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,434171,Receptionists and Information Clerks,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,M,298,306,8,2.7%,5.4%,42,"$24,554","$23,094",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,435041,"Meter Readers, Utilities",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,No data,25,22,-3,-12.0%,-11.6%,2,"$26,650","$26,121",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,N,27,24,-3,-11.1%,5.4%,3,"$35,811","$33,259",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,436011,Executive Secretaries and Executive Administrative Assistants,HS Diploma & Work Experience,HS Diploma,.,Work Experience,M,67,53,-14,-20.9%,-19.8%,6,"$49,191","$47,424",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,M,669,566,-103,-15.4%,-8.9%,60,"$30,146","$28,571",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,439021,Data Entry Keyers,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,N,40,30,-10,-25.0%,-23.2%,3,"$45,012","$52,799",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,439061,"Office Clerks, General",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,M,"1,481","1,329",-152,-10.3%,-3.5%,153,"$26,508","$24,720",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.5,Administrative Support,439199,"Office and Administrative Support Workers, All Other",HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,M,46,45,-1,-2.2%,5.8%,5,"$36,895","$35,236",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.2,Business Information Management,.,.,.,.,.,.,.,29,33,4,13.8%,.,2,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.2,Business Information Management,113021,Computer and Information Systems Managers,Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,N,29,33,4,13.8%,11.3%,2,"$129,789","$121,362",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.1,General Management,.,.,.,.,.,.,.,729,713,-16,-2.2%,.,59,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.1,General Management,111021,General and Operations Managers,Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,N,557,552,-5,-0.9%,6.9%,48,"$95,187","$75,980",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.1,General Management,119199,"Managers, All Other",Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,No data,172,161,-11,-6.4%,6.3%,11,"$86,207","$80,363",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.3,Human Resources Management,.,.,.,.,.,.,.,528,502,-26,-4.9%,.,50,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.3,Human Resources Management,113121,Human Resources Managers,Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,M,19,20,1,5.3%,7.1%,1,"$105,207","$85,717",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.3,Human Resources Management,131071,Human Resources Specialists,Bachelor's Degree,Bachelor's Degree,.,.,No data,250,241,-9,-3.6%,5.3%,24,"$49,182","$41,902",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.3,Human Resources Management,131075,Labor Relations Specialists,Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,No data,86,74,-12,-14.0%,-8.3%,7,"$59,947","$64,908",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.3,Human Resources Management,131151,Training and Development Specialists,Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,N,79,84,5,6.3%,9.4%,8,"$47,571","$45,995",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.3,Human Resources Management,433051,Payroll and Timekeeping Clerks,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,M,43,39,-4,-9.3%,-3.2%,5,"$38,557","$40,732",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.3,Human Resources Management,434161,"Human Resources Assistants, Except Payroll and Timekeeping",Some College/Associate Degree,Some College/Associate Degree,.,.,No data,51,44,-7,-13.7%,-4.1%,5,"$38,495","$41,024",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.4,Operations Management,.,.,.,.,.,.,.,199,200,1,0.5%,.,17,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.4,Operations Management,113011,Administrative Services Managers,Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,No data,39,39,0,0.0%,7.3%,3,"$74,102","$72,982",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.4,Operations Management,113061,Purchasing Managers,Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,N,18,18,0,0.0%,3.9%,1,"$102,103","$95,010",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.4,Operations Management,131111,Management Analysts,Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,N,49,50,1,2.0%,13.5%,5,"$66,114","$54,289",,,,,,,,
441,Southwestern Virginia (LWDA I),4,Business Management and Administration,4.4,Operations Management,131199,"Business Operations Specialists, All Other",Bachelor's Degree,Bachelor's Degree,.,.,No data,93,93,0,0.0%,6.3%,8,"$57,055","$55,707",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,.,.,.,.,.,.,.,.,.,"4,651","4,378",-273,-5.9%,.,388,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.1,Administration and Administrative Support,.,.,.,.,.,.,.,161,151,-10,-6.2%,.,11,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.1,Administration and Administrative Support,119032,"Education Administrators, Elementary and Secondary School",Graduate/Professional Degree & Work Experience,Graduate/Professional Degree,.,Work Experience,No data,126,118,-8,-6.3%,4.1%,8,"$76,350","$75,688",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.1,Administration and Administrative Support,119033,"Education Administrators, Postsecondary",Graduate/Professional Degree & Work Experience,Graduate/Professional Degree,.,Work Experience,No data,35,33,-2,-5.7%,7.0%,3,"$116,656","$102,280",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.2,Professional Support Services,.,.,.,.,.,.,.,277,272,-5,-1.8%,.,28,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.2,Professional Support Services,211012,"Educational, Guidance, School, and Vocational Counselors",Graduate/Professional Degree,Graduate/Professional Degree,.,.,M,125,122,-3,-2.4%,8.4%,13,"$54,519","$53,893",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.2,Professional Support Services,254021,Librarians,Bachelor's Degree,Bachelor's Degree,.,.,M,90,90,0,0.0%,6.3%,9,"$51,768","$50,635",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.2,Professional Support Services,259031,Instructional Coordinators,Graduate/Professional Degree & Work Experience,Graduate/Professional Degree,.,Work Experience,No data,37,35,-2,-5.4%,6.3%,4,"$65,433","$61,871",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.2,Professional Support Services,259099,"Education, Training, and Library Workers, All Other",Bachelor's Degree,Bachelor's Degree,.,.,No data,25,25,0,0.0%,5.7%,2,"$36,986","$32,087",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,.,.,.,.,.,.,.,"4,213","3,955",-258,-6.1%,.,349,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251011,"Business Teachers, Postsecondary",Graduate/Professional Degree,Graduate/Professional Degree,.,.,No data,27,28,1,3.7%,14.7%,2,"$42,819","$38,597",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251021,"Computer Science Teachers, Postsecondary",Graduate/Professional Degree,Graduate/Professional Degree,.,.,No data,16,15,-1,-6.3%,4.2%,2,"$62,853","$59,245",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251022,"Mathematical Science Teachers, Postsecondary",Graduate/Professional Degree,Graduate/Professional Degree,.,.,No data,35,33,-2,-5.7%,2.9%,3,"$56,945","$55,281",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251042,"Biological Science Teachers, Postsecondary",Graduate/Professional Degree,Graduate/Professional Degree,.,.,No data,43,43,0,0.0%,11.7%,4,"$70,672","$66,125",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251052,"Chemistry Teachers, Postsecondary",Graduate/Professional Degree,Graduate/Professional Degree,.,.,No data,16,15,-1,-6.3%,6.3%,2,"$69,315","$63,837",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251066,"Psychology Teachers, Postsecondary",Graduate/Professional Degree,Graduate/Professional Degree,.,.,No data,18,18,0,0.0%,11.7%,2,"$58,226","$51,379",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251071,"Health Specialties Teachers, Postsecondary",Graduate/Professional Degree & Work Experience,Graduate/Professional Degree,.,Work Experience,No data,64,71,7,10.9%,23.2%,6,"$70,853","$63,962",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251072,"Nursing Instructors and Teachers, Postsecondary",Graduate/Professional Degree & Work Experience,Graduate/Professional Degree,.,Work Experience,No data,78,84,6,7.7%,20.0%,8,"$57,448","$50,761",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251081,"Education Teachers, Postsecondary",Graduate/Professional Degree & Work Experience,Graduate/Professional Degree,.,Work Experience,No data,27,26,-1,-3.7%,7.8%,2,"$51,696","$53,792",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251123,"English Language and Literature Teachers, Postsecondary",Graduate/Professional Degree,Graduate/Professional Degree,.,.,No data,23,21,-2,-8.7%,4.1%,2,"$40,932","$35,002",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251125,"History Teachers, Postsecondary",Graduate/Professional Degree,Graduate/Professional Degree,.,.,No data,15,14,-1,-6.7%,6.3%,1,"$63,112","$56,913",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,251194,"Vocational Education Teachers, Postsecondary",Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,No data,36,34,-2,-5.6%,-3.0%,3,"$51,582","$52,780",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,252011,"Preschool Teachers, Except Special Education",Bachelor's Degree,Bachelor's Degree,.,.,No data,78,70,-8,-10.3%,7.1%,6,"$43,143","$38,628",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,252012,"Kindergarten Teachers, Except Special Education",Bachelor's Degree,Bachelor's Degree,.,.,No data,88,82,-6,-6.8%,3.8%,7,"$49,166","$48,104",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,252021,"Elementary School Teachers, Except Special Education",Bachelor's Degree,Bachelor's Degree,.,.,No data,728,675,-53,-7.3%,3.3%,47,"$53,373","$50,183",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,252022,"Middle School Teachers, Except Special and Career/Technical Education",Bachelor's Degree,Bachelor's Degree,.,.,No data,363,337,-26,-7.2%,3.5%,23,"$54,543","$53,861",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,252023,"Career/Technical Education Teachers, Middle School",Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,No data,12,11,-1,-8.3%,2.7%,0,"$54,318","$55,313",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,252031,"Secondary School Teachers, Except Special and Career/Technical Education",Bachelor's Degree,Bachelor's Degree,.,.,No data,554,515,-39,-7.0%,3.6%,34,"$56,489","$54,013",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,252032,"Career/Technical Education Teachers, Secondary School",Bachelor's Degree & Work Experience,Bachelor's Degree,.,Work Experience,No data,108,99,-9,-8.3%,2.2%,6,"$50,650","$48,216",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,252052,"Special Education Teachers, Kindergarten and Elementary School",Bachelor's Degree,Bachelor's Degree,.,.,No data,121,111,-10,-8.3%,2.8%,8,"$49,893","$48,001",,,,,,,,
441,Southwestern Virginia (LWDA I),5,Education and Training,5.3,Teaching/Training,252053,"Special Education Teachers, Middle School",Bachelor's Degree,Bachelor's Degree,.,.,No data,36,33,-3,-8.3%,2.7%,3,"$48,190","$46,818",,,,,,,,
